epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1999,1.34239,2.47507,1.70536,0.40294,0.03505,0.00282,0.00069,3.68204,32.0993,11.2785,0.0702027,0.00331081,0.00331081
2,109.711,1.41762,2.19647,1.73481,0.15245,0.22877,0.14085,0.05964,2.08607,3.08817,2.70916,0.0401369,0.00657837,0.00657837
3,161.783,1.31312,1.95383,1.63732,0.80409,0.00206,0.00086,0.00021,3.51147,10.1669,4.73393,0.0100051,0.00977992,0.00977992
4,214.387,1.19984,1.75722,1.53742,0.62098,0.38398,0.29039,0.16078,1.56621,2.92581,2.12915,0.009703,0.009703,0.009703
5,265.754,1.1457,1.62241,1.49729,0.74587,0.43567,0.50528,0.35401,1.26429,2.01118,1.8832,0.009604,0.009604,0.009604
6,317.356,1.07138,1.49608,1.44953,0.66619,0.31458,0.33581,0.23974,1.30247,2.79193,1.86071,0.009505,0.009505,0.009505
7,369.46,1.04395,1.43292,1.41909,0.94234,0.11197,0.17198,0.09623,1.51021,3.25086,2.19746,0.009406,0.009406,0.009406
8,421.312,1.00112,1.35792,1.38285,0.83223,0.59839,0.71451,0.49577,1.09393,1.41152,1.62442,0.009307,0.009307,0.009307
9,474.359,1.00294,1.33184,1.38393,0.80432,0.53506,0.61671,0.46107,1.00379,1.58969,1.53317,0.009208,0.009208,0.009208
10,526.021,0.9693,1.28318,1.37227,0.65906,0.67172,0.69797,0.50359,1.01371,1.32237,1.55332,0.009109,0.009109,0.009109
11,577.747,0.91642,1.19515,1.33317,0.66855,0.75815,0.75893,0.55646,1.01832,1.11072,1.53542,0.00901,0.00901,0.00901
12,629.519,0.91942,1.19151,1.32823,0.62201,0.62412,0.62903,0.39525,1.41356,1.65838,2.08786,0.008911,0.008911,0.008911
13,681.457,0.9038,1.13589,1.30949,0.67001,0.77254,0.77461,0.58729,0.91136,1.10401,1.4274,0.008812,0.008812,0.008812
14,733.126,0.90659,1.11148,1.31879,0.66398,0.80518,0.80139,0.59286,0.93921,1.01625,1.50032,0.008713,0.008713,0.008713
15,786.299,0.88982,1.10737,1.30673,0.76903,0.73892,0.78609,0.59649,1.04831,1.04737,1.59502,0.008614,0.008614,0.008614
16,837.856,0.87009,1.0828,1.2921,0.79133,0.84842,0.84427,0.61191,0.99766,1.03095,1.52794,0.008515,0.008515,0.008515
17,889.453,0.83948,1.05039,1.27781,0.74531,0.79457,0.80956,0.61231,0.91379,0.96808,1.44882,0.008416,0.008416,0.008416
18,940.874,0.84938,1.06204,1.28015,0.68278,0.77524,0.80585,0.61488,0.87832,0.97084,1.40765,0.008317,0.008317,0.008317
19,992.528,0.81784,1.00684,1.25301,0.75553,0.843,0.86334,0.67008,0.85519,0.84425,1.38883,0.008218,0.008218,0.008218
20,1044.18,0.81817,0.99008,1.26362,0.7976,0.76136,0.84642,0.66322,0.84407,0.92273,1.36195,0.008119,0.008119,0.008119
21,1097.01,0.81761,1.00173,1.25221,0.79325,0.82929,0.85898,0.66491,0.8618,0.87235,1.41036,0.00802,0.00802,0.00802
22,1147.87,0.79354,0.96384,1.24049,0.81153,0.78771,0.81324,0.63056,0.85462,0.93788,1.36896,0.007921,0.007921,0.007921
23,1197.28,0.80068,0.96084,1.23597,0.72205,0.84576,0.85098,0.67635,0.79695,0.82918,1.3352,0.007822,0.007822,0.007822
24,1246.45,0.76594,0.94468,1.21879,0.72672,0.78916,0.79676,0.62823,0.82017,0.96556,1.36946,0.007723,0.007723,0.007723
25,1295.73,0.78654,0.93418,1.2381,0.77356,0.88105,0.8706,0.67647,0.86418,0.83027,1.41283,0.007624,0.007624,0.007624
26,1345.17,0.76439,0.92832,1.23031,0.80672,0.87778,0.88424,0.69801,0.78378,0.75417,1.32059,0.007525,0.007525,0.007525
27,1399.05,0.74129,0.90871,1.20696,0.79231,0.82371,0.85496,0.66366,0.88269,0.85964,1.40259,0.007426,0.007426,0.007426
28,1452.51,0.76718,0.90175,1.2218,0.81145,0.81868,0.87284,0.69697,0.7666,0.78265,1.30482,0.007327,0.007327,0.007327
29,1506.41,0.75137,0.89332,1.20989,0.81144,0.90314,0.89829,0.72576,0.75416,0.7049,1.28996,0.007228,0.007228,0.007228
30,1560.12,0.7445,0.87909,1.20017,0.81605,0.88837,0.89348,0.72355,0.7519,0.68037,1.31805,0.007129,0.007129,0.007129
31,1613.01,0.71866,0.82067,1.18744,0.80068,0.84436,0.8688,0.69382,0.78201,0.79072,1.30021,0.00703,0.00703,0.00703
32,1662.11,0.72574,0.84532,1.19822,0.79273,0.86124,0.85289,0.69958,0.73607,0.73292,1.27046,0.006931,0.006931,0.006931
33,1713.31,0.73054,0.8392,1.19757,0.82285,0.86536,0.89388,0.71045,0.79741,0.74981,1.31086,0.006832,0.006832,0.006832
34,1763.18,0.72178,0.82621,1.18835,0.74283,0.84569,0.85342,0.6608,0.85001,0.79854,1.37818,0.006733,0.006733,0.006733
35,1812.57,0.7039,0.84092,1.19129,0.84407,0.87348,0.89807,0.73414,0.75508,0.67768,1.27179,0.006634,0.006634,0.006634
36,1862.04,0.71391,0.83217,1.19489,0.77359,0.85302,0.87129,0.71381,0.78149,0.73465,1.32941,0.006535,0.006535,0.006535
37,1911.38,0.69442,0.79978,1.18142,0.87352,0.88454,0.90312,0.74767,0.73093,0.65454,1.26723,0.006436,0.006436,0.006436
38,1960.26,0.69455,0.79841,1.17224,0.87885,0.91726,0.91369,0.72943,0.78071,0.63559,1.33012,0.006337,0.006337,0.006337
39,2009.94,0.69953,0.7738,1.1752,0.85953,0.83524,0.88171,0.72077,0.72484,0.68789,1.25797,0.006238,0.006238,0.006238
40,2059.02,0.67706,0.78257,1.16628,0.82419,0.88244,0.89386,0.72963,0.7441,0.6691,1.25559,0.006139,0.006139,0.006139
41,2108.17,0.67011,0.77045,1.16603,0.87279,0.88626,0.90074,0.73036,0.79109,0.66906,1.34319,0.00604,0.00604,0.00604
42,2159.5,0.6906,0.76195,1.17889,0.8282,0.84113,0.89442,0.73402,0.74112,0.73614,1.26485,0.005941,0.005941,0.005941
43,2211.31,0.66246,0.75762,1.15438,0.88457,0.89724,0.92466,0.76198,0.70079,0.58204,1.24571,0.005842,0.005842,0.005842
44,2262.86,0.64797,0.74634,1.1452,0.87064,0.90021,0.92431,0.76235,0.6909,0.58569,1.22296,0.005743,0.005743,0.005743
45,2315.72,0.66402,0.74015,1.15019,0.89166,0.90177,0.91881,0.76924,0.67036,0.59768,1.22046,0.005644,0.005644,0.005644
46,2367.35,0.63974,0.71987,1.14766,0.87884,0.88883,0.91733,0.76376,0.6874,0.58211,1.21732,0.005545,0.005545,0.005545
47,2419.1,0.66018,0.73502,1.15916,0.84128,0.92615,0.91922,0.7662,0.66907,0.57134,1.18842,0.005446,0.005446,0.005446
48,2470.3,0.64721,0.72782,1.156,0.84199,0.9071,0.91849,0.76954,0.69125,0.57747,1.21928,0.005347,0.005347,0.005347
49,2521.82,0.65648,0.71645,1.14663,0.84864,0.84767,0.89388,0.74687,0.69904,0.66551,1.24638,0.005248,0.005248,0.005248
50,2573.96,0.65355,0.72625,1.15347,0.87547,0.90602,0.9143,0.76364,0.68784,0.59178,1.21709,0.005149,0.005149,0.005149
51,2625.48,0.6295,0.69316,1.13621,0.87936,0.9204,0.91871,0.78238,0.63887,0.58442,1.17516,0.00505,0.00505,0.00505
52,2677.16,0.62232,0.68722,1.13561,0.87104,0.883,0.90837,0.77276,0.66618,0.57763,1.19962,0.004951,0.004951,0.004951
53,2728.66,0.61895,0.68201,1.12855,0.87768,0.92664,0.91831,0.80273,0.61146,0.53312,1.16366,0.004852,0.004852,0.004852
54,2780.11,0.61152,0.66213,1.12171,0.88849,0.88895,0.91275,0.77439,0.66234,0.54702,1.19666,0.004753,0.004753,0.004753
55,2831.82,0.61468,0.64969,1.14113,0.86726,0.90234,0.91686,0.77475,0.66383,0.56576,1.21463,0.004654,0.004654,0.004654
56,2884.43,0.59495,0.65093,1.11074,0.88389,0.92739,0.93462,0.79948,0.61633,0.52468,1.15878,0.004555,0.004555,0.004555
57,2936.1,0.60686,0.65851,1.12651,0.86491,0.92452,0.9275,0.7854,0.64885,0.54821,1.17718,0.004456,0.004456,0.004456
58,2987.98,0.61022,0.67408,1.1255,0.89774,0.92371,0.92802,0.77932,0.66156,0.51984,1.19685,0.004357,0.004357,0.004357
59,3039.68,0.58322,0.64759,1.10364,0.87154,0.92791,0.92927,0.78265,0.63784,0.53655,1.18486,0.004258,0.004258,0.004258
60,3091.23,0.59837,0.6471,1.11829,0.88457,0.92832,0.92775,0.80745,0.59716,0.49806,1.1481,0.004159,0.004159,0.004159
61,3142.92,0.59673,0.64113,1.12018,0.88109,0.9016,0.9153,0.76572,0.71332,0.56914,1.23419,0.00406,0.00406,0.00406
62,3194.68,0.57463,0.62963,1.10552,0.87791,0.92855,0.92578,0.79739,0.59231,0.4989,1.15143,0.003961,0.003961,0.003961
63,3246.98,0.57376,0.62113,1.10146,0.88589,0.9106,0.92389,0.80498,0.60972,0.52666,1.15306,0.003862,0.003862,0.003862
64,3299.03,0.57578,0.62049,1.10585,0.91358,0.92768,0.93217,0.80119,0.6435,0.50876,1.20002,0.003763,0.003763,0.003763
65,3352.42,0.58216,0.60501,1.10325,0.84809,0.9047,0.92453,0.78388,0.63714,0.54519,1.17526,0.003664,0.003664,0.003664
66,3404.06,0.55751,0.60043,1.09146,0.86366,0.92299,0.93093,0.79227,0.62859,0.52072,1.20236,0.003565,0.003565,0.003565
67,3455.59,0.55651,0.60347,1.1053,0.90276,0.93974,0.93811,0.81282,0.58542,0.4882,1.15559,0.003466,0.003466,0.003466
68,3508.51,0.56242,0.58485,1.09326,0.91402,0.91195,0.93613,0.81683,0.59969,0.47453,1.15147,0.003367,0.003367,0.003367
69,3560.24,0.54502,0.5758,1.09018,0.90738,0.9153,0.93571,0.80967,0.58006,0.46771,1.13668,0.003268,0.003268,0.003268
70,3611.91,0.5447,0.59076,1.09021,0.89476,0.95044,0.93426,0.80704,0.59184,0.46927,1.15865,0.003169,0.003169,0.003169
71,3663.57,0.55072,0.57488,1.08902,0.89458,0.92685,0.9363,0.806,0.603,0.49018,1.14597,0.00307,0.00307,0.00307
72,3715.28,0.5306,0.56731,1.08438,0.89834,0.94203,0.93918,0.81504,0.59629,0.47494,1.14843,0.002971,0.002971,0.002971
73,3767.57,0.52516,0.54351,1.07582,0.92478,0.93056,0.9333,0.8115,0.58238,0.45221,1.14313,0.002872,0.002872,0.002872
74,3819.45,0.53156,0.54699,1.08859,0.90165,0.94033,0.93666,0.81973,0.56918,0.46108,1.13298,0.002773,0.002773,0.002773
75,3871.41,0.52208,0.55897,1.07248,0.86462,0.91042,0.91282,0.7952,0.56555,0.48463,1.14877,0.002674,0.002674,0.002674
76,3922.77,0.50419,0.5386,1.06201,0.90735,0.95241,0.93759,0.81446,0.58145,0.44212,1.13485,0.002575,0.002575,0.002575
77,3974.05,0.5256,0.54698,1.0761,0.90809,0.92524,0.92922,0.80525,0.59395,0.47707,1.14257,0.002476,0.002476,0.002476
78,4024.94,0.51283,0.53434,1.07256,0.91437,0.93955,0.93869,0.81923,0.56776,0.4551,1.13677,0.002377,0.002377,0.002377
79,4077.06,0.51458,0.53671,1.06985,0.90218,0.9366,0.93327,0.82009,0.57397,0.43487,1.13523,0.002278,0.002278,0.002278
80,4128.12,0.49476,0.52446,1.06113,0.90444,0.91112,0.92999,0.81521,0.56808,0.46798,1.13543,0.002179,0.002179,0.002179
81,4179.97,0.48907,0.52129,1.05388,0.90886,0.92199,0.93592,0.81752,0.56816,0.43624,1.12765,0.00208,0.00208,0.00208
82,4231.61,0.49284,0.50941,1.06498,0.90897,0.95121,0.94444,0.83033,0.5496,0.42077,1.12257,0.001981,0.001981,0.001981
83,4283.63,0.49646,0.49693,1.06763,0.90612,0.94207,0.9376,0.82015,0.57819,0.4505,1.14134,0.001882,0.001882,0.001882
84,4334.9,0.47257,0.49594,1.04723,0.90302,0.95551,0.94503,0.82969,0.56792,0.43266,1.13136,0.001783,0.001783,0.001783
85,4387.71,0.4717,0.49695,1.05351,0.92121,0.93809,0.94766,0.83123,0.53455,0.41828,1.09353,0.001684,0.001684,0.001684
86,4439.63,0.47687,0.48822,1.05436,0.88506,0.94057,0.93799,0.82496,0.57293,0.4439,1.14042,0.001585,0.001585,0.001585
87,4491.72,0.48866,0.48424,1.06333,0.90663,0.94188,0.94436,0.83176,0.55457,0.41664,1.12671,0.001486,0.001486,0.001486
88,4543.62,0.46309,0.4716,1.0433,0.93408,0.9304,0.94892,0.83777,0.54464,0.40537,1.11405,0.001387,0.001387,0.001387
